Nah, di episode kali ini kita akan membahas apa yang belakangan ini sedang terjadi dengan Indonesia.,"Well, in this episode we will discuss what has been happening with Indonesia lately."
"Namun, karena kebijakan pemerintah belakangan ini dianggap tidak tepat, banyak masyarakat yang merasa hidupnya jadi dipersulit, jadi semakin ribet, semakin rumit.","However, because recent government policies are considered inappropriate, many people feel their lives are made difficult, becoming more complicated and complex."
"Banyak rakyat Indonesia kelas menengah dan bawah terkena dampak, terkena akibat dari efisiensi anggaran.","Many middle and lower class Indonesian citizens are affected, suffering the consequences of budget efficiency."
"Contohnya, banyak yang kehilangan pekerjaan atau gajinya dikurangi.","For example, many have lost their jobs or had their salaries reduced."
"Belum lagi dengan maraknya banyaknya kasus KKN—korupsi, kolusi, dan nepotisme.","Not to mention the rampant cases of corruption, collusion, and nepotism (KKN)."
"Banyak orang yang merasakan aturan-aturan hukum di Indonesia seakan-akan sangat longgar, sangat lega untuk pejabat-pejabat, untuk orang yang punya posisi tinggi, tapi di saat yang sama merugikan kelas menengah dan bawah.","Many people feel that legal regulations in Indonesia seem very lenient and relaxed for officials and high-ranking individuals, but at the same time harm the middle and lower classes."
"Karena itu, pada tanggal 17 sampai 21 Februari yang lalu, ribuan mahasiswa dan orang-orang muda di Indonesia di berbagai kota besar turun ke jalan untuk melakukan demo melawan, menentang kebijakan pemerintah dengan hashtag #IndonesiaGelap.","Because of that, from February 17 to 21, thousands of students and young people in various major cities in Indonesia took to the streets to demonstrate against government policies under the hashtag #IndonesiaGelap."
Aku akan bacakan beberapa tulisan yang ada di poster demo:,"I will read out some of the writings on the demonstration posters:"
"Makanan gratis, pendidikan krisis.","Free food, crisis education."
Anggaran pendidikan dipangkas karena pejabat paling takut sama rakyat yang pintar.,"The education budget is slashed because officials are most afraid of educated citizens."
"Ah, rasanya capek, lelah banget melihat berita belakangan ini.","Ah, it feels so tiring and exhausting watching the news lately."
"Aku sangat sayang Indonesia, kalau tidak sayang tidak mungkin aku membuat podcast ini.","I love Indonesia very much; if I didn't love it, I wouldn't be making this podcast."
"Melihat keadaan belakangan ini, jujur aku juga sedih. Ada sedikit perasaan ingin kabur juga.","Seeing the situation lately, honestly I am also sad. I also have a slight feeling of wanting to escape."
"Tapi kalau untuk aku sendiri, ya tidak mudah meninggalkan Indonesia karena keluargaku semuanya di sini.","But as for me, it's not easy to leave Indonesia because my entire family is here."
"Selain itu, aku juga sebenarnya suka tinggal di Indonesia.","Besides that, I actually like living in Indonesia."
"Menurutku, di sini hidup dan bekerja lebih nyaman dan mudah daripada di luar negeri, lanjut kerja di Tiongkok misalnya.","In my opinion, living and working here is more comfortable and easier than abroad, continuing to work in China for example."
Walaupun begitu, aku tetap mendukung dan mengerti kenapa orang-orang muda Indonesia banyak yang memilih kabur ke luar negeri.,"Even so, I still support and understand why many young Indonesians choose to flee abroad."
Aku hanya berharap Indonesia nanti akan membaik.,"I only hope Indonesia will improve in the future."
"Nah, episode kali ini sampai di sini. Semoga para pendengar mendapatkan banyak informasi dan juga belajar banyak kosa kata baru.","Well, that's all for this episode. I hope listeners got a lot of information and also learned a lot of new vocabulary."

"Di episode ini, kita akan membahas Candi Borobudur, lebih tepatnya berita terbaru tentang Candi Borobudur.","In this episode, we will discuss Borobudur Temple, more specifically the latest news about Borobudur Temple."
Candi Borobudur adalah salah satu tempat wisata yang paling terkenal di Indonesia.,"Borobudur Temple is one of the most famous tourist attractions in Indonesia."
Tentu saja Candi Borobudur bukan hanya tempat biasa saja.,"Of course, Borobudur Temple is not just an ordinary place."
Candi Borobudur sangat berharga dan harus dijaga karena memiliki nilai sejarah.,"Borobudur Temple is very valuable and must be preserved because it has historical value."
"Beberapa hari yang lalu, orang-orang Indonesia dikagetkan dengan berita tentang harga tiket Candi Borobudur.","A few days ago, Indonesian people were shocked by the news about Borobudur Temple's ticket prices."
Aku sendiri juga sangat terkejut ketika mendengar berita ini.,"I myself was also very shocked when I heard this news."
Aku mau cerita sedikit tentang pengalamanku.,"I want to share a little bit about my experience."
"Beberapa bulan yang lalu, aku dan keluargaku jalan-jalan ke Jogja (Jogjakarta).","A few months ago, my family and I traveled to Jogja (Yogyakarta)."
"Tentu saja, kami juga berencana untuk datang ke Candi Borobudur.","Of course, we also planned to visit Borobudur Temple."
"Saat itu, harga tiketnya masih sama dengan sebelumnya yaitu 50.000 (lima puluh ribu) untuk satu orang, tapi karena keadaan pandemi kami tidak diizinkan, kami tidak boleh naik ke atas candi.","At that time, the ticket price was still the same as before, 50,000 (fifty thousand) for one person, but due to pandemic conditions, we were not allowed to go up the temple."
"Menyentuhnya saja tidak bisa, jadi hanya boleh melihat-lihat saja.","We couldn't even touch it, so we were only allowed to look around."
"Akhirnya kami tidak jadi membeli tiket masuk candi karena rasanya sia-sia, percuma kalau sudah membayar tiket masuk, tapi tidak bisa naik candi.","In the end we didn't buy the entrance tickets because it felt pointless to pay for admission without being able to go up the temple."
"Jadi akhirnya kami pergi ke tempat lain dan kami juga berharap suatu saat nanti bisa kembali lagi ke Candi Borobudur setelah pandemi benar-benar berakhir.","So finally we went somewhere else, and we also hoped that one day we could return to Borobudur Temple after the pandemic is truly over."
Semoga setelah pandemi selesai kami bisa datang lagi dan naik ke atas candi.,"Hopefully after the pandemic ends we can visit again and climb up the temple."
"Namun, apa yang terjadi setelah itu?","However, what happened after that?"
Beberapa hari yang lalu orang-orang Indonesia akhirnya dikagetkan dengan berita ini.,"A few days ago, Indonesian people were shocked by this news."
"Setelah aku mendengar berita tentang harga tiket Candi Borobudur yang baru, harapan dan keinginanku untuk kembali ke sana sudah hilang.","After I heard the news about the new Borobudur Temple ticket prices, my hope and desire to return there disappeared."
"Kira-kira berapa harga tiketnya, ya?","Roughly how much is the ticket price?"
"Harga tiket yang baru adalah 750.000 (tujuh ratus lima puluh ribu) untuk orang Indonesia, dan 100 dolar Amerika untuk wisatawan asing, untuk orang yang datang dari luar negeri.","The new ticket price is 750,000 (seven hundred fifty thousand) for Indonesians, and 100 US dollars for foreign tourists, for people coming from abroad."
Harga ini menurutku luar biasa tinggi.,"In my opinion, this price is exceptionally high."
"Sebenarnya, tiket masuknya masih sama, 50.000.","Actually, the entrance ticket is still the same, 50,000."
Harga tiket yang lebih mahal ini adalah untuk orang yang mau naik ke atas candi.,"This more expensive ticket price is for people who want to go up the temple."
"Katanya dengan begini, tidak semua orang bisa naik ke atas candi, hanya orang-orang yang benar-benar mau belajar dan tertarik dengan sejarah Candi Borobudur.","They say that this way, not everyone can go up the temple, only people who really want to learn and are interested in the history of Borobudur Temple."
Sebetulnya alasan di balik kenaikan harga ini tujuannya adalah untuk menjaga keadaan Candi Borobudur supaya tetap bagus dan tidak rusak.,"Actually, the reason behind this price increase is to preserve Borobudur Temple's condition so it remains good and undamaged."
"Tapi sejujurnya kalau dipikir-pikir kembali, dengan harga yang semahal ini, aku lebih memilih untuk jalan-jalan ke tempat lain.","But honestly, thinking it over, at such an expensive price, I would prefer to travel somewhere else."
"Bukan hanya aku saja, tapi kebanyakan orang Indonesia juga tidak senang mendengar kabar ini.","Not only me, but most Indonesians were also unhappy to hear this news."
"Banyak yang bilang kalau harganya semahal ini, hanya orang kaya yang bisa naik ke atas candi.","Many say that if the price is this expensive, only rich people will be able to go up the temple."
"Menurutku sendiri, sejujurnya aku merasa kenaikan harga seperti ini terlalu tinggi, terlalu mahal.","In my own view, I honestly feel that a price increase like this is too high, too expensive."
Mungkin kalau 200 atau 300 ribu masih bisa dimengerti.,"Maybe if it were 200 or 300 thousand it would still be understandable."
"Dan setelah aku lihat-lihat di internet, tempat-tempat wisata UNESCO lainnya, di negara lain, harganya paling mahal juga sekitar 200 sampai 300-an ribu rupiah saja.","And after looking on the internet, other UNESCO tourist sites in other countries cost at most around 200 to 300 thousand rupiah only."
"Berita ini membuat banyak orang Indonesia kaget, dan kebanyakan juga tidak setuju.","This news shocked many Indonesian people, and most also disagreed."
"Jadi akhirnya kenaikan harga ini akan ditunda, diundur lebih lama lagi.","So in the end, this price increase will be postponed, pushed back even further."
Mungkin supaya ada waktu untuk dipikir-pikir kembali.,"Perhaps so there is time to reconsider."
"Aku berharap harga tiketnya nanti tidak akan naik, atau setidaknya tidak semahal itu, tidak semahal 750.000 supaya suatu saat nanti aku bisa pergi jalan-jalan ke Candi Borobudur.","I hope the ticket price won't increase later, or at least won't be that expensive—not as expensive as 750,000—so that someday I can travel to Borobudur Temple."
Semoga orang-orang yang belum pergi ke sana juga bisa tetap pergi dan naik ke Candi Borobudur.,"Hopefully people who haven't been there yet can still visit and climb Borobudur Temple."

Minggu lalu aku belum bisa membuat episode baru karena lagi kurang sehat.,"Last week I couldn't make a new episode yet because I wasn't feeling well."
Aku pilek jadi suaraku bindeng seperti ini.,"I have a cold, so my voice sounds nasal like this."
"Biasanya kalau orang pilek suaranya akan bindeng, jadi tentu saja tidak enak didengarkan kan?","Usually when people have a cold their voice becomes nasal, so of course it's not pleasant to listen to, right?"
Jadi aku harus beristirahat dulu sampai suaraku normal kembali.,"So I have to rest first until my voice returns to normal."
"Di episode kali ini, kita akan membahas bakso.","In this episode, we will discuss bakso (meatballs)."
Bakso adalah makanan yang sangat terkenal di Indonesia dan bisa ditemukan di mana saja.,"Bakso is a very famous food in Indonesia and can be found anywhere."
Bakso terbuat dari tepung dan daging.,"Bakso is made from flour and meat."
"Biasanya daging yang dipakai adalah daging ayam, daging sapi, atau daging ikan.","Usually the meat used is chicken, beef, or fish."
Bakso bentuknya bulat seperti bola pingpong.,"Bakso is round in shape like a ping-pong ball."
"Ada lagunya loh! Bakso bulat seperti bola pingpong, hehe.","There's even a song about it! Round meatballs like ping-pong balls, hehe."
"Biasanya bakso dinikmati waktu hujan, saat cuaca sedang dingin karena biasanya bakso disajikan, dinikmati saat masih panas.","Usually bakso is enjoyed when it rains, when the weather is cold, because bakso is usually served and enjoyed while it is still hot."
"Waktu cuaca sedang panas, tentu saja bakso masih tetap enak untuk dinikmati.","When the weather is hot, of course bakso is still delicious to enjoy."
Biasanya ditemani es teh atau es jeruk supaya lebih segar.,"Usually it is accompanied by iced tea or iced citrus juice to make it more refreshing."
"Di dalam semangkuk bakso bukan hanya ada bakso saja, tapi juga ada berbagai macam bahan-bahan lainnya.","In a bowl of bakso there are not only meatballs, but also various other ingredients."
Bakso biasanya kita makan dengan kuah panas.,"We usually eat bakso with hot broth."
Kuah adalah air yang rasanya gurih dan asin karena sudah ditambah bumbu-bumbu lain.,"Broth is water that tastes savory and salty because other seasonings have been added."
Di dalam semangkuk bakso juga ada mi dan bihun.,"In a bowl of bakso there are also noodles and rice vermicelli."
"Bihun adalah mi yang tipis dan halus, terbuat dari tepung beras.","Bihun is thin and delicate noodles, made from rice flour."
Di dalam semangkuk bakso juga bisa ada pangsit.,"In a bowl of bakso there can also be pangsit (wontons/dumplings)."
Pangsit adalah daging yang dibungkus dengan lembaran tepung.,"Pangsit is meat wrapped in dough skins."
"Biasanya, pangsit di dalam mangkuk bakso adalah pangsit rebus, tapi kita juga bisa menemukan pangsit goreng.","Usually, the pangsit in a bowl of bakso is boiled pangsit, but we can also find fried pangsit."
"Selain bahan-bahan yang aku sebutkan tadi, biasanya di tempat makan bakso juga disediakan bumbu-bumbu lain seperti kecap (soy sauce) dan sambal.","Besides the ingredients I mentioned earlier, bakso eateries usually also provide other condiments like sweet soy sauce (kecap) and chili sauce (sambal)."
"Kecap adalah soy sauce, berbeda dengan 'ketchup' dalam bahasa Inggris yang artinya adalah saos tomat.","Kecap is sweet soy sauce, different from 'ketchup' in English which means tomato sauce."
Jadi jangan sampai salah arti ya.,"So make sure not to get the meanings mixed up."
"Nah, kecap dan sambal bisa ditambahkan ke dalam mangkuk bakso sesuai dengan selera masing-masing orang.","Now, kecap and sambal can be added to the bowl of bakso according to each person's taste."
Kalau aku sendiri biasanya jarang menambahkan bumbu-bumbu seperti ini karena bisa mengubah rasa asli dari kuah bakso.,"As for myself, I rarely add condiments like this because it can change the original flavor of the bakso broth."
"Nah, karena bakso bisa ditemukan di banyak tempat di seluruh Indonesia, tentu saja ada banyak jenis-jenisnya.","Now, because bakso can be found in many places throughout Indonesia, of course there are many varieties."
Yang paling aku suka adalah bakso Malang.,"The one I like the most is Malang bakso."
Malang adalah sebuah kota di Jawa Timur.,"Malang is a city in East Java."
"Bakso Malang termasuk salah satu jenis bakso yang paling terkenal, dan rasanya juga enak sekali.","Malang bakso is one of the most famous types of bakso, and it tastes very delicious too."
"Kalau di Salatiga, yang terkenal adalah bakso babat.","In Salatiga, what is famous is tripe bakso (bakso babat)."
Babat adalah bagian dalam perut sapi yaitu lambung.,"Babat (tripe) is an internal part of a cow's stomach, specifically the stomach."
Apakah para pendengar suka makan jeroan?,"Do the listeners like eating offal/organ meats?"
"Jeroan adalah bagian dalam seperti jantung, hati, dan paru.","Jeroan (offal) is internal organs like the heart, liver, and lungs."
Aku sendiri lumayan suka jeroan.,"I myself quite like offal."
"Kalau para pendengar juga suka jeroan, mungkin bisa mencoba bakso babat di Salatiga, hehe.","If the listeners also like offal, maybe you can try bakso babat in Salatiga, hehe."

Di episode kali ini, kita akan membahas topik yang sedang hangat tentang bahasa Indonesia, yaitu kosakatanya.,"In this episode, we will discuss a trending topic about the Indonesian language, namely its vocabulary."
Di dalam sebuah video yang sempat viral di internet, ada seorang perempuan yang mengatakan dalam podcast-nya kalau bahasa Indonesia itu sebenarnya bahasa yang miskin kosakata.,"In a video that went viral on the internet, a woman said on her podcast that Indonesian is actually a language poor in vocabulary."
Hmm, apakah benar begitu?,"Hmm, is that really true?"
Video ini mendapatkan banyak kritik dari netizen Indonesia.,"This video received a lot of criticism from Indonesian netizens."
Aku sendiri tidak mau terlalu banyak mengkritik orang yang mengatakan bahasa Indonesia itu miskin kosakata, tapi aku hanya mau membagikan pandanganku soal kekayaan bahasa Indonesia.,"I personally don't want to criticize the person who said Indonesian is poor in vocabulary too much, but I just want to share my perspective on the richness of the Indonesian language."
Secara angka, secara jumlah, memang bahasa Indonesia kosakatanya lebih sedikit dari bahasa-bahasa lain, contohnya yang paling terkenal, bahasa Inggris.,"In terms of numbers and quantity, Indonesian vocabulary is indeed fewer than other languages, the most famous example being English."
Kosakata bahasa Indonesia sekitar 120.000, sementara itu kosakata bahasa Inggris lebih dari 1.000.000.,"Indonesian vocabulary is around 120,000, while English vocabulary is more than 1,000,000."
Kalau begitu, apakah berarti bahasa Indonesia itu miskin kosakata?,"If so, does that mean Indonesian is poor in vocabulary?"
Hmmm, nggak juga, sih.,"Hmmm, not really."
Pengalaman pribadiku setelah 24 tahun berbicara bahasa Indonesia, bahasa Indonesia itu sangat kaya.,"In my personal experience after 24 years of speaking Indonesian, Indonesian is very rich."
Waktu aku baca buku, baca novel, selalu ada kata yang aku kurang paham artinya, yang harus ditebak-tebak, dikira-kira apa ya artinya?,"When I read books or novels, there are always words whose meanings I don't quite understand, that I have to guess and estimate what they mean."
Kadang juga harus dicari di KBBI (Kamus Besar Bahasa Indonesia).,"Sometimes I also have to look them up in the KBBI (Great Dictionary of the Indonesian Language)."
Mungkin para pendengar juga ingat di episode tentang pempek, aku salah pengucapan.,"Maybe listeners also remember in the episode about pempek, I mispronounced it."
Yang seharusnya pempek lenjer, aku sebut pempek lenjer.,"What should have been 'pempek lenjer', I called 'pempek lenjer'."
"Nah, sebagai seorang penutur asli bahasa Indonesia, aku juga tetap harus belajar.","So, as a native Indonesian speaker, I still have to keep learning."
Masih banyak hal yang belum aku ketahui tentang kosakata bahasa Indonesia.,"There is still a lot that I don't know about Indonesian vocabulary."
Di dalam bahasa Indonesia juga ada banyak kata yang jarang dipakai karena bahasa Inggrisnya yang lebih sering digunakan.,"In Indonesian, there are also many words that are rarely used because their English equivalents are used more often."
Contohnya, kosakata yang berkaitan dengan internet, seperti “unduh” (download), dan juga gulir (scroll).,"For example, vocabulary related to the internet, such as 'unduh' (download), and also 'gulir' (scroll)."
Orang Indonesia sering banget bilang “lagi scrolling-scrolling IG (Instagram)”.,"Indonesians very often say 'lagi scrolling-scrolling IG (Instagram)'."
Sebetulnya ada kata dalam bahasa Indonesia untuk “scroll” yaitu “gulir”, tapi tidak pernah dipakai.,"Actually, there is a word in Indonesian for 'scroll', which is 'gulir', but it's never used."
Orang Indonesia jarang ada yang tahu.,"Rarely do Indonesians know it."
Nah, karena itu, 120.000 kosakata, aku yakin orang Indonesia tidak ada yang bisa tahu semuanya.,"Because of that, with 120,000 words, I'm sure no Indonesian knows all of them."
120.000 itu banyak sekali, dan itu hanya yang resmi terdaftar dalam KBBI.,"120,000 is a lot, and that is only what is officially registered in the KBBI."
Bagaimana dengan kosakata yang tidak masuk kamus?,"What about vocabulary that isn't in the dictionary?"
Pasti ada banyak juga.,"There must be a lot of those too."
Jadi, kosakata bahasa Indonesia itu lebih dari 120.000.,"So, Indonesian vocabulary is more than 120,000."
Bahkan asli bahasa Indonesia atau linguis sekalipun belum tentu tahu semuanya.,"Even native Indonesians or linguists don't necessarily know all of them."
Justru karena bahasa Indonesia itu sangat kaya, makanya sampai ada ahli yang mempelajari bahasa Indonesia dengan begitu dalam, sampai harus menghabiskan waktu bertahun-tahun.,"Precisely because Indonesian is so rich, that's why there are experts who study Indonesian so deeply that they have to spend years on it."
Aku yakin mereka tidak mungkin bisa mengatakan bahasa Indonesia itu miskin kosakata.,"I am sure they could never say Indonesian is poor in vocabulary."
Menurutku ya, semakin dalam kita mempelajari sesuatu, justru semakin banyak yang harus kita pelajari, apalagi soal bahasa.,"In my opinion, the deeper we study something, the more we actually have to learn, especially when it comes to language."
Bahasa itu tidak sederhana, sangat rumit, sangat kompleks.,"Language is not simple; it is very complicated, very complex."
Jadi, kalau ada orang yang terlalu mudah, terlalu terburu-buru mengatakan suatu bahasa itu miskin, mungkin dia belum mempelajarinya terlalu dalam.,"So, if someone is too quick and hasty to say a language is poor, maybe they haven't studied it deeply enough."
Ketika kita belajar, termasuk belajar bahasa, perlu kerendahan hati, ya.,"When we learn, including learning a language, humility is necessary."
Jangan sampai sombong.,"Do not be arrogant."
Belajar bahasa, atau belajar apapun itu, adalah perjalanan panjang.,"Learning a language, or learning anything, is a long journey."
Bahkan untuk penutur asli bahasa Indonesia dan ahli sekalipun.,"Even for native Indonesian speakers and experts alike."
Nah, mungkin para pendengar sudah banyak yang tahu kalau kosakata bahasa Indonesia banyak yang berasal dari bahasa lain, seperti bahasa Inggris, Belanda, Arab, Jerman, dan masih banyak lagi.,"Now, maybe many listeners already know that a lot of Indonesian vocabulary comes from other languages, such as English, Dutch, Arabic, German, and many more."
Kalau begitu, mungkin kita jadi bisa bertanya-tanya, “Apakah bahasa Indonesia itu miskin sampai harus meminjam kosakata dari bahasa lain?”","If so, we might wonder, 'Is Indonesian so poor that it has to borrow vocabulary from other languages?'"
Hmmm, tapi kita bisa lihat dari sudut pandang, dari cara berpikir yang berbeda.,"Hmmm, but we can look at it from a different perspective, from a different way of thinking."
Justru itulah yang membuat bahasa Indonesia kaya dan unik, juga sangat menyenangkan untuk dipakai dan dipelajari.,"That is precisely what makes Indonesian rich and unique, and also very enjoyable to use and learn."
Bukan hanya bahasa luar lo, bahasa Indonesia juga banyak mengambil bahasa daerah, seperti bahasa Jawa, bahasa Sunda, dan lain-lain.,"Not only foreign languages, Indonesian also takes a lot from regional languages, like Javanese, Sundanese, and others."
Bagaimana? Apakah setelah mengetahui lebih lagi soal bahasa Indonesia, jadi lebih tertarik?,"How about it? After learning more about Indonesian, are you more interested?"
Jadi semakin semangat untuk belajar bahasa Indonesia?,"Are you even more motivated to learn Indonesian?"
Bahasa Indonesia adalah bahasa yang terus berkembang, bahkan perubahannya sangat cepat.,"Indonesian is a language that continues to develop, and its changes are very rapid."
Jadi, pasti nanti akan terus ada kosakata baru.,"So, there will definitely continue to be new vocabulary in the future."
"Yuk, kita belajar bersama-sama.","Come on, let's learn together."
"Tetap semangat, ya!","Keep up the spirit!"
